지침내용,공사종류,지침유형
"천장 먹놓기 작업 시에는 이동식비계 등을 사용하고, 사다리를 사용하여서는 안된다.",건축,위험경고
"경량철골 천장틀 설치 시에는 천장 높이가 높은 경우에는 비계 등을 조립하여 작업발판을 설치하여야 하며 작업발판 위에 말비계, 사다리 등을 설치하여 작업하여서는 안된다.",건축,위험경고
철물작업 시 손의 베임 등을 방지하기 위하여 장갑을 착용하여야 한다.,건축,예방조치
부재 적재장소는 근로자의 통행에 불편을 주지 않고 타 작업에 간섭이 되지 않는 위치를 선정하여야 한다.,건축,예방조치
"당일 시공요구량 적정여부, 작업방법 및 순서, 타공정과의 간섭 여부 등 작업 계획의 적정성을 확인하여야 한다.",건축,점검사항
작업에 적합한 안전한 구조의 작업발판 확보 여부를 확인하여야 한다.,건축,점검사항
전동드릴 사용시에는 드릴비트의 용도 및 드릴비트가 빠지지 않도록 작업 전 확인하여야 한다.,건축,점검사항
" 굴삭기 등 건설장비 운전원의 자격유무를 확인하고, 작업계획에 따라 작업을 실시하여 부딪힘재해가 발생하지 않도록 하여야 한다.",굴착공사,점검사항
 상부에서 붕괴․낙하 위험이 있는 장소에서의 작업을 금지하여야 한다,굴착공사,위험경고
"자재 등 중량물의 인양은 크레인을 사용하고, 크레인의 뒤집힘 방지를 위해평탄하고 견고한 지반위에 아웃트리거를 설치하여 작업하여야 한다.",굴착공사,점검사항
" 운전자는 굴착기 운행전 장비의 누수, 누유 및 외관상태 등의 이상 유․무를 확인하여야 한다.",굴착공사,점검사항
"운전자는 작업중 지하매설물(전선관, 가스관, 통신관, 상․하수관 등)과 지상 장애물이 발견되면 즉시 장비를 정지하고 관리감독자에게 보고한 다음작업지시에 따라 작업하여야 한다.",굴착공사,위험경고
이동식 비계를 추진하는 동안에는 교각 및 브라켓에 이동식 비계가 충돌하지않도록 주의하여야 한다.,가설구조물,위험경고
비계보는 설치 즉시 이동을 방지하기 위하여 로프 등으로 교각에 결속하여야 한다.,가설구조물,예방조치
) 후방 가로보를 설치하기 전에 설치장소의 콘크리트 강도 및 교량 상부 구조물의 강연선 인장작업 완료여부를 확인하여야 한다.,교량,점검사항
추락 및 낙하․비래 재해예방을 위한 안전방망은 부재의 조립․해체 등 고소작업을 시작하기 전에 고소작업장 하부 전체에 걸쳐 견실하게 설치하여야 한다.,공통,위험경고
") 낙하물 방지망은 설치 후 3 개월 이내마다 정기점검을 실시하여야 한다. 다만, 낙하물이 발생하였거나 유해환경에 노출되어 방망이 손상된 경우에는 즉시 교체 또는 보수하여야 한다.",공통,점검사항
근로자들이 이용하기 편한 장소에 소화기와 비상전화를 비치하고 소화기 (이산화탄소 및 건식 소화기)사용법을 교육시켜야 한다.,공통,예방조치
"인화성 물질, 가연성 가스, 유증기 및 부유물이 체류하지 않도록 환기를 실시하여야 한다. 또한, 불티 등이 우레탄폼 표면에 접촉하지 않도록 방화포와 같은 차폐시설을 설치하여야 한다.",건축,예방조치
흡연금지 등 근로자에 대한 화재예방 교육과 피난교육을 실시하여야 한다. 또한 소화기에 의한 초기진화 실패 시에는 즉시 화재장소에서 대피하도록 교육하여야 한다.,공통,예방조치
"콘크리트 펌프카 설치지반의 상태가 연약지반인 경우에는 연약토사를 제거하고 콘크리트를 타설 양생한 후 설치하거나, 충분한 강도와 접지 면적이 확보되는 철판 등을 지면에 깔아야 한다.",건축,점검사항
연결고리 구조의 쉬트파일 또는 라이너플레이트를 설치한 경우 틈새가 생기지 않도록 정확히 하여야 한다.,굴착공사,점검사항
시가지 굴착 등을 할 경우에는 도면 및 관리자의 조언에 의하여 매설물의 위치를 파악한 후 줄파기작업 등을 시작하여야 한다.,굴착공사,점검사항
노출된 매설물을 되메우기 할 경우는 매설물의 방호를 실시하고 양질의 토사를 이용하여 충분한 다짐을 하여야 한다.,굴착공사,점검사항
가스관과 송유관 등이 매설된 경우는 화기사용을 금하여야 하며 부득이 용접기 등을 사용해야 될 경우는 폭발방지 조치를 취한 후 작업을 하여야 한다.,굴착공사,예방조치
" 최소 1일 1회 이상은 순회 점검하여야 하며 점검에는 와이어로프의 인장상태, 거치구조의 안전상태, 특히 접합부분을 중점적으로 확인하여야 한다.",굴착공사,점검사항
거푸집 해체는 설계도서의 거푸집 존치기간에 의거하여 결정하되 압축강도 시험결과 기준치 이상일 경우에 실시하여야 한다.,가설구조물,점검사항
